x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 1.0001 0.0944 -19.0120 0.1594 1.4608 0.1596 3.6620 0.7834 0.1876 0.0000 -1166.1039 2.8529 2 0 0 0 1 0 0
0 0 1.0000 1.0000 0.9211 0.0472 0.3149 0.3464 5.8591 0.3477 13.5285 1.5369 0.1876 0.0000 -1166.1039 2.8529 2 0 0 0 1 1 0
1 0 nan nan 0.8579 0.0305 -1.1332 0.0196 0.5701 0.0246 1.2259 0.0982 0.0238 0.0000 -3310.6606 3.7387 4 0 4 0 1 0 0
1 0 nan nan 0.7954 0.0123 -12.1795 0.0342 1.9194 0.0342 3.8271 0.1284 0.0238 0.0000 -3310.6606 3.7387 4 0 4 0 1 0 0
1 0 nan nan 0.9910 0.0212 0.1894 0.0459 1.9707 0.0306 4.8954 0.1823 0.0238 0.0000 -3310.6606 3.7387 4 0 4 0 1 0 0
1 0 nan nan 0.1265 0.0089 -37.1292 0.2982 3.6870 0.2982 1.1694 0.1831 0.0238 0.0000 -3310.6606 3.7387 4 0 4 0 0 0 0
2 1 nan nan 2.6017 0.2529 -18.5354 0.0496 0.4431 0.0501 2.8897 0.6394 0.2939 0.0000 -829.9998 2.5672 2 0 0 0 0 0 0
2 1 nan nan 1.4722 0.0610 -1.4363 0.3658 7.6317 0.3726 28.1638 2.5996 0.2939 0.0000 -829.9998 2.5672 2 0 0 0 1 1 0
0 2 1.0000 2.2362 0.5354 0.0426 -11.9325 0.5969 5.9412 0.6661 7.9738 1.5997 0.1529 0.0000 -1305.1351 3.5705 2 0 0 0 0 1 0
0 2 1.0000 2.2362 1.3220 0.0692 1.6148 0.1436 2.2502 0.1480 7.4564 0.9063 0.1529 0.0000 -1305.1351 3.5705 2 0 0 0 1 0 0
