x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
0 0 1.0000 1.0000 2.1381 0.0927 1.6683 0.1397 2.7917 0.1397 14.9616 1.4298 0.1970 0.0000 -182.8001 11.7958 1 2 0 0 1 0 0
1 0 nan nan 0.8515 0.0338 -0.5628 0.0204 0.5069 0.0250 1.0819 0.0985 0.0246 0.0000 -1263.4297 9.7215 3 2 0 0 0 0 0
1 0 nan nan 0.7768 0.0139 -11.5970 0.0399 1.9242 0.0399 3.7468 0.1462 0.0246 0.0000 -1263.4297 9.7215 3 2 0 0 1 0 0
1 0 nan nan 0.9870 0.0218 0.7374 0.0478 1.9710 0.0341 4.8765 0.1939 0.0246 0.0000 -1263.4297 9.7215 3 2 0 0 1 0 0
2 0 nan nan 3.7168 0.1299 1.1548 0.0336 0.8771 0.0369 8.1715 0.6415 0.2250 0.0000 -324.6917 3.8328 3 3 0 0 1 0 0
2 0 nan nan 0.6708 0.0398 -6.6492 0.7628 8.8328 0.6507 14.8512 2.0405 0.2250 0.0000 -324.6917 3.8328 3 3 0 0 1 1 0
2 0 nan nan 1.3235 0.1436 4.5806 0.0842 0.6967 0.0909 2.3113 0.5851 0.2250 0.0000 -324.6917 3.8328 3 3 0 0 0 0 0
0 1 1.0000 1.7321 1.0737 0.0783 -3.2111 0.8234 9.7823 0.8234 26.3278 4.2972 0.3745 0.0000 -7.1316 6.6886 2 2 0 0 0 1 0
0 1 1.0000 1.7321 1.3459 0.2713 -54.0606 0.1896 0.8146 0.1896 2.7479 1.3223 0.3745 0.0000 -7.1316 6.6886 2 2 0 0 0 0 0
1 1 2.0004 1.4141 0.7302 0.0621 -3.7918 0.6882 7.0136 0.6891 12.8376 2.4595 0.3393 0.0000 -237.9613 2.5612 2 2 0 0 0 1 0
1 1 2.0004 1.4141 0.5858 0.0774 -35.4230 0.6880 4.5072 0.6886 6.6187 2.0192 0.3393 0.0000 -237.9613 2.5612 2 2 0 0 0 0 0
2 1 nan nan 2.3169 0.2601 7.6498 0.0567 0.4604 0.0639 2.6738 0.7126 0.2700 0.0000 -171.1268 6.3559 3 2 0 0 0 0 0
2 1 nan nan 1.8227 0.1469 -3.3171 0.6941 2.9813 0.4873 13.6208 3.5037 0.2700 0.0000 -171.1268 6.3559 3 2 0 0 1 1 0
2 1 nan nan 1.5517 0.2394 3.0402 0.5999 2.3691 0.4939 9.2143 3.6387 0.2700 0.0000 -171.1268 6.3559 3 2 0 0 1 0 0
0 2 1.0000 2.2362 0.9655 0.1013 -9.3475 0.0921 0.7605 0.0921 1.8405 0.4395 0.1675 0.0000 -443.0410 4.1103 2 2 0 0 1 0 0
0 2 1.0000 2.2362 0.8353 0.0574 1.9668 0.1880 2.3695 0.1880 4.9613 0.7616 0.1675 0.0000 -443.0410 4.1103 2 2 0 0 1 1 0
1 2 2.0007 1.9999 1.4661 0.0840 -2.1884 0.5618 8.5604 0.5401 31.4589 3.9015 0.3956 0.0000 -12.7465 5.8086 2 2 0 0 1 1 0
1 2 2.0007 1.9999 3.3046 0.3671 2.9625 0.0527 0.4155 0.0545 3.4414 0.8835 0.3956 0.0000 -12.7465 5.8086 2 2 0 0 0 0 0
2 2 3.0007 0.9990 2.0649 0.0996 3.2575 0.1249 2.2414 0.1249 11.6015 1.2375 0.2815 0.0000 -334.3178 3.0037 1 2 0 0 1 0 0
